mes,pendents
2022-01,71014
2022-02,71233
2022-03,70397
2022-04,70556
2022-05,68528
2022-06,69027
2022-07,70457
2022-08,69758
2022-09,68354
2022-10,67417
2022-11,64794
2022-12,64464
2023-01,64297
2023-02,66688
2023-03,64096
2023-04,61922
2023-05,61314
2023-06,61216
2023-07,62099
2023-08,61832
2023-09,67387
2023-10,75439
2023-11,73085
2023-12,77445
2024-01,76233
2024-02,77809
2024-03,78801
2024-04,77494
2024-05,75158
2024-06,74966
2024-07,71462
2024-08,69606
2024-09,69537
2024-10,68693
2024-11,67711
2024-12,65899
2025-01,66381
2025-02,65235
2025-03,66433
2025-04,62598
2025-05,61210
2025-06,61441
2025-07,57270
2025-08,56564
2025-09,54171
2025-10,56249
2025-11,55578
2025-12,55430
2026-01,54734
2026-02,55987
2026-03,53525
