mes,resolts
2022-01,7301
2022-02,9154
2022-03,11917
2022-04,8618
2022-05,11454
2022-06,9337
2022-07,7604
2022-08,7010
2022-09,10721
2022-10,10702
2022-11,13731
2022-12,8682
2023-01,8603
2023-02,4974
2023-03,18659
2023-04,10606
2023-05,12147
2023-06,11599
2023-07,9196
2023-08,8263
2023-09,8064
2023-10,12479
2023-11,74128
2023-12,19636
2024-01,13810
2024-02,22679
2024-03,15577
2024-04,29877
2024-05,16591
2024-06,14206
2024-07,17311
2024-08,12601
2024-09,10948
2024-10,19608
2024-11,14037
2024-12,13665
2025-01,13670
2025-02,14806
2025-03,12979
2025-04,16432
2025-05,15744
2025-06,10582
2025-07,15088
2025-08,7885
2025-09,10856
2025-10,11628
2025-11,11638
2025-12,10096
2026-01,9921
2026-02,11075
2026-03,13680
